sub,study,meta_entropy
22112,EXTEND,2.898905680834022
22117,EXTEND,2.5542962289597653
22118,EXTEND,2.93261998819377
22118,EXTEND,2.924769075867484
22118,EXTEND,2.854425204252089
22118,EXTEND,2.8525446625599424
22118,EXTEND,2.667457273966038
22118,EXTEND,2.7392845300545785
22118,EXTEND,2.8235528006426094
22118,EXTEND,2.922945437362479
22118,EXTEND,3.04142108341574
22120,EXTEND,2.9794825416532147
22120,EXTEND,2.829905458740644
22120,EXTEND,2.752298882620971
22120,EXTEND,2.583492363395146
22120,EXTEND,2.885779232149876
22120,EXTEND,2.9060306186055858
22120,EXTEND,2.797997927185483
22120,EXTEND,2.988724962176701
22121,EXTEND,2.923338271570488
22121,EXTEND,2.8342771200700354
22121,EXTEND,2.760721977216289
22121,EXTEND,2.8725266350023007
22121,EXTEND,2.857961617532394
22121,EXTEND,2.9485703043434834
22121,EXTEND,2.606486438811723
22121,EXTEND,2.832760674871137
22122,EXTEND,2.9565284866647747
22122,EXTEND,2.472503033552384
22122,EXTEND,2.835848617759239
22122,EXTEND,2.331924183014787
22122,EXTEND,2.558117517614768
22122,EXTEND,2.635439949020239
22122,EXTEND,2.6005288456409263
22122,EXTEND,2.2578726210657134
22122,EXTEND,2.911333464775774
22125,EXTEND,2.8876845639251587
22125,EXTEND,2.9537334840302343
22125,EXTEND,2.731166348147387
22125,EXTEND,2.837457159678138
22125,EXTEND,2.9296350197201044
22125,EXTEND,2.696597072786555
22125,EXTEND,2.768964307312343
22125,EXTEND,2.9409382949424696
22127,EXTEND,2.46309861129675
22127,EXTEND,2.741681429198764
22127,EXTEND,2.1727993974229185
22127,EXTEND,2.7399160248588563
22127,EXTEND,2.945095685190303
22127,EXTEND,2.749356893468593
22127,EXTEND,2.91730572843793
22127,EXTEND,2.8301669948894985
22129,EXTEND,2.9778214360812414
22129,EXTEND,2.8588673753766125
22129,EXTEND,2.9638711887144487
22129,EXTEND,2.945853364412016
22129,EXTEND,2.698649710355055
22129,EXTEND,2.8146448084167965
22129,EXTEND,2.8618720165598224
22129,EXTEND,2.856379254634602
22131,EXTEND,2.62058730992586
22131,EXTEND,2.8912880767029
22131,EXTEND,2.8755393173146384
22131,EXTEND,2.95551861451402
22131,EXTEND,2.961168922866184
22131,EXTEND,2.6234309973183394
22131,EXTEND,2.5210806584477323
22131,EXTEND,2.6349944543472303
22137,EXTEND,2.692725513355695
22137,EXTEND,2.865048580724196
22137,EXTEND,2.726292772932952
22137,EXTEND,2.7169525846922857
22137,EXTEND,2.7698766827001644
22137,EXTEND,2.7185648473669075
22137,EXTEND,2.658097891238164
22137,EXTEND,2.7115310030341275
22137,EXTEND,3.0678776505784144
22143,EXTEND,2.870391051269011
22145,EXTEND,2.98299231524062
22145,EXTEND,2.983008199443185
